surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
Howard,727,Germany,Male,34,2,146407.11,1,1,1,72073.72,0
Chukwunonso,773,Spain,Female,39,4,0.0,2,0,1,182081.45,0
Chia,759,Spain,Male,31,8,0.0,2,1,1,99086.74,0
Kent,626,Germany,Male,35,4,88109.81,1,1,1,32825.5,0
Mazzi,686,France,Female,34,3,123971.51,2,1,0,147794.63,0
Pinto,665,France,Male,52,3,0.0,1,1,0,116137.01,1
Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0
Thompson,633,France,Male,29,10,130206.28,1,1,0,184654.87,0
Fleming,672,France,Female,53,9,169406.33,4,1,1,147311.47,1
Ifeatu,523,France,Male,61,8,66250.71,1,1,1,21859.06,0
Balashov,537,Germany,Male,48,4,131834.8,1,1,0,166476.95,1
Anderson,545,Germany,Male,37,9,95829.13,2,0,1,104936.88,0
Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0
Castella,799,Spain,Male,35,7,0.0,2,0,1,140780.8,0
Fisk,753,France,Male,35,3,0.0,2,1,1,184843.77,0
Brown,624,France,Female,45,3,68639.57,1,1,0,168002.31,1
Macleod,743,France,Female,30,1,127023.39,1,1,1,138780.89,0
Hsiung,563,France,Male,30,7,90727.79,1,1,0,122268.75,0
Castiglione,728,France,Male,30,10,114835.43,1,0,1,37662.49,0
Siciliani,645,France,Female,55,7,0.0,2,1,1,18369.33,0
Davey,611,France,Male,68,5,82547.11,2,1,1,146448.01,0
Lei,785,Spain,Female,54,1,0.0,2,1,0,45113.92,1
Demidov,556,Spain,Male,38,8,0.0,2,0,0,417.41,1
Ferri,657,Spain,Female,41,6,112119.48,1,1,0,17536.82,0
P'eng,724,France,Female,34,3,132352.69,1,1,0,80320.3,0
Sandover,571,Germany,Male,33,3,71843.15,1,1,0,26772.04,0
Palerma,748,Spain,Female,40,4,0.0,2,1,0,132368.47,0
Davide,651,Germany,Female,45,6,86714.06,1,1,0,85869.89,1
Marcelo,819,France,Female,39,9,133102.92,1,1,0,27046.46,1
Eskridge,758,Germany,Male,33,0,129142.54,2,1,1,26606.28,0
Steele,746,Spain,Male,36,2,0.0,2,1,1,16436.56,0
McLean,751,Germany,Female,28,10,132932.14,2,1,1,46630.47,0
Ajuluchukwu,704,Germany,Male,41,9,62078.21,2,1,0,129050.67,0
Nixon,613,Germany,Female,30,5,131563.88,2,1,0,170638.98,0
Howells,551,Spain,Male,49,1,150777.72,2,1,1,135757.27,0
Dale,636,Spain,Female,33,0,0.0,1,1,0,92277.47,1
Wang,747,France,Female,25,4,0.0,2,0,1,42039.67,0
Chukwumaobim,706,Germany,Male,31,1,117020.08,2,1,0,54439.53,0
Mazzanti,699,Spain,Male,40,2,0.0,1,1,0,78387.32,0
Abramowitz,566,France,Female,21,3,0.0,2,1,1,3626.47,0
Shih,542,Germany,Female,35,9,127543.11,2,1,0,468.94,1
Linger,611,France,Male,30,9,0.0,2,1,1,148887.69,0
Bligh,611,France,Female,26,2,107508.93,2,1,1,120801.65,0
Tien,659,France,Male,31,4,118342.26,1,0,0,161574.19,0
Tan,492,France,Male,35,8,121063.49,1,0,0,85421.48,0
Gallo,658,France,Female,40,7,140596.95,1,0,1,135459.02,1
Tan,511,France,Male,27,8,0.0,2,1,1,49089.36,0
Brown,463,Spain,Female,35,2,0.0,2,1,1,1950.93,0
Mann,802,Spain,Male,51,7,0.0,1,0,1,40855.79,0
Moretti,630,France,Male,37,6,0.0,2,1,1,82647.65,0
Chiemeka,588,France,Female,24,0,0.0,2,1,1,140586.08,0
Gilroy,522,France,Female,34,3,0.0,2,1,1,3894.34,0
Archer,618,Germany,Male,41,8,37702.79,1,1,1,195775.48,0
Hale,644,Germany,Female,40,4,77270.08,2,1,1,115800.1,1
Esomchi,553,France,Female,31,4,0.0,2,1,1,89087.4,0
Yudin,465,France,Male,33,5,0.0,2,0,1,78698.09,0
Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0
Alexeyeva,481,Spain,Female,37,8,0.0,2,1,0,44215.86,0
Mai,543,Spain,Male,35,10,59408.63,1,1,0,76773.53,0
Pisano,613,France,Male,47,6,146034.74,1,1,1,77146.14,0
Dunn,704,Spain,Male,24,10,122109.78,1,1,1,127654.37,0
Shih,513,France,Male,30,5,0.0,2,1,0,162523.66,0
Fan,672,Spain,Male,43,5,0.0,2,1,1,64515.5,0
Nnaife,595,Germany,Female,41,9,150463.11,2,0,1,81548.38,0
Chandler,506,France,Male,37,5,0.0,2,1,1,127543.81,0
Chukwuebuka,850,France,Male,39,6,96863.13,1,1,1,121681.19,0
Ricci,634,France,Female,37,7,51582.5,2,1,1,184312.88,0
Pendergrass,509,France,Female,46,1,0.0,1,1,0,71244.59,1
North,635,France,Female,27,8,127471.56,1,1,1,152916.05,1
Napolitano,643,France,Female,33,0,137811.75,1,1,1,184856.89,0
Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0
Lazareva,678,Germany,Male,36,3,145747.67,2,0,1,89566.74,0
Cruz,850,France,Female,46,2,157866.77,1,1,1,18986.12,0
Mishin,750,France,Female,47,7,121376.15,2,1,0,54473.6,1
Panicucci,703,Spain,Male,73,5,137761.55,1,1,1,159677.46,0
Ts'ao,677,France,Female,29,3,86616.35,1,0,0,91903.9,1
Long,682,France,Female,64,10,128306.7,1,0,1,66040.83,0
Ko,617,Spain,Male,61,3,113858.95,1,1,1,38129.22,0
Mason,613,France,Male,40,7,124339.9,1,0,0,193309.58,0
Carter,736,Spain,Male,32,7,0.0,1,0,1,79082.62,0
Huang,598,Germany,Female,27,10,171283.91,1,1,1,84136.12,0
Chukwukadibia,529,Germany,Male,29,4,135759.4,1,0,0,112813.79,1
Yang,597,France,Female,36,9,0.0,2,1,1,7156.09,0
Fang,454,Spain,Female,48,5,144837.79,1,1,1,93151.77,0
Barlow,581,France,Male,30,1,0.0,2,1,0,199464.08,0
Piccio,646,France,Male,30,7,0.0,2,1,0,153566.97,0
Tsui,625,Spain,Female,57,7,0.0,1,0,0,84106.17,1
Harper,775,Germany,Female,33,1,118897.1,2,1,1,26362.4,0
Taylor,699,Spain,Male,31,8,125927.51,2,1,0,147661.47,0
Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1
Udegbulam,724,France,Male,28,9,0.0,2,1,1,100240.2,0
Langlands,640,France,Male,40,8,110340.68,1,1,1,157886.6,0
Jenkins,550,France,Female,40,8,150490.32,1,0,0,166468.21,1
Atkinson,695,France,Female,36,2,0.0,2,0,1,167749.54,0
Wei,684,France,Male,30,2,0.0,2,1,0,83473.82,0
Ignatyeva,648,France,Male,42,4,0.0,2,1,0,19283.14,0
Tsui,683,France,Male,38,7,109346.13,2,1,0,102665.92,0
Illingworth,639,Spain,Female,27,8,133806.54,2,1,0,6251.3,0
Herrera,515,France,Male,65,7,92113.61,1,1,1,142548.33,0
